delo,kraj,Regija,plačilo,naslov,datum_pričetka,delovnik,število_članov,trajanje,šifra,opis,podjetje
POMOČ PRI PRODAJI,CELJE,SAVINJSKA,"4.65 EUR/h NETO, 5.50 EUR/h BRUTO",ARCLIN 100,11.11.2020,DOPOLDAN,1,DLJE ČASA (OBČASNO),326819,Potrebujejo polnoletno osebo za pomoč pri prodaji vozil. Pogoj je starost nad 18 let in vozniški izpit. Od kandidatov pričakujejo predvsem željo in smisel za delo z ljudmi ter računalniško pismenost. Za več informacij pokličite na telefonsko številko.,"AVTO TRIGLAV D.O.O., LJUBLJANA"
PRODAJA,CELJE,SAVINJSKA,"5.00 EUR/h NETO, 5.92 EUR/h BRUTO",MARIBORSKA 100 (CITY CENTER),16.11.2020,IZMENSKO,2,PO DOGOVORU,326818,"Mednarodno podjetje z več kot 27 letno tradicijo, ki trži priznane blagovne znamke, išče osebo za delo v trgovini (prodaja in skrb za urejenost trgovine). Pogoj je polnoletnost. Izkušnje z delom v trgovini so prednost. Možnost dolgoročnega sodelovanja ter kariernega in strokovnega napredovanja.",STUDIO MODERNA D.O.O. ZAGORJE
ADMINISTRATIVNA DELA,LJUBLJANA,LJUBLJANA Z OKOLICO,"5.07 EUR/h NETO, 6.00 EUR/h BRUTO",DUNAJSKA 107,10.11.2020,DOPOLDAN,1,DLJE ČASA (OBČASNO),326817,"Podjetje išče analitično, zanesljivo in prilagodljivo osebo z absolventskim statusom za pomoč pri administrativnih delih na oddelku saldakontov. 

K vlogi priložite tudi življenjepis.",POSLOVNI SISTEM MERCATOR D.D.
BLAGAJNIK,NOVO MESTO,DOLENJSKA,"5.07 EUR/h NETO, 6.00 EUR/h BRUTO",LJUBLJANSKA 95,11.11.2020,PO DOGOVORU,1,PO DOGOVORU,326814,"Trgovina z največjo izbiro kvalitetnega pohištva, spalnic in druge opreme za dom ter moderne zabavne elektronike potrebuje vestno osebo za delo na blagajni.",HARVEY NORMAN TRADING DRUŽBA ZA TRGOVINO D.O.O.
DELO V PROIZVODNJI,PODNART,RADOVLJICA Z OKOLICO,"4.56 EUR/h NETO, 5.40 EUR/h BRUTO",PODNART 43,23.11.2020,DOPOLDAN,4,"6 MESECEV, PO POTREBI IN DOGOVORU",326812,"Lažja dela v proizvodnji, predvsem lepljenje nalepk na izdelke in pakiranje nenevarnih izdelkov. Starost: minimalno 18 let. Izkušnje niso potrebne, kandidate/ke bodo izbrali po začetnem intervjuju in uspešno opravljenem zdravniškem pregledu ( napoti podjetje).",ATOTECH SLOVENIJA D.D.
POUČEVANJE,NOVO MESTO,DOLENJSKA,PO DOGOVORU,ŠMIHEL 2,16.11.2020,DOPOLDAN,1,DO 24. 6. 2020,326810,"Osnovna šola potrebuje osebo za poučevanje matematike v tretjem triletju, dopolnilni in dodatni pouk v obsegu 20 pedagoških ur/teden in ostale naloge po LDN šole. Izkušnje niso potrebne.  Zaželeno: Študent višjega letnika matematike.",OSNOVNA ŠOLA ŠMIHEL
PROMOCIJA,MARIBOR,MARIBOR Z OKOLICO,"7.00 EUR/h NETO, 8.28 EUR/h BRUTO",MARIBOR CENTER,23.11.2020,DOPOLDAN,8,DLJE ČASA (OBČASNO),326809,"Pridruži se njim, študentom, ki na ulicah Maribora iščejo nove člane mednarodne organizacije za človekove pravice. Urnik je prilagodljiv, plačilo pa odlično. Delo se prične, ko se sprotijo ukrepi glede COVID19. Pričakujejo tvojo prijavo na naš e-naslov.",DRUŠTVO AMNESTY INTERNATIONAL SLOVENIJE
ČIŠČENJE,LJUBLJANA ŠIŠKA,LJUBLJANA Z OKOLICO,"5.00 EUR/h NETO, 5.92 EUR/h BRUTO",LJUBLJANA ŠIŠKA,16.11.2020,PO DOGOVORU,1,DLJE ČASA (OBČASNO),326808,Čiščenje poslovnih prostorov. Delovnik poteka po dogovoru. Zaželene so izkušnje s čiščenjem. Prijavo pošljite na e-naslov.,ITAIA D.O.O.
MASKA,LJUBLJANA,LJUBLJANA Z OKOLICO,PO PROJEKTU,LJUBLJANA,10.11.2020,PO DOGOVORU,2,DLJE ČASA (OBČASNO),326807,"Iščejo študenta/ko (vizažista/ko), ki ima izkušnje z ličenjem za pomoč pri snemanju e-vsebin, cca 30 ur na mesec. Plačilo po dogovoru. Prijavo s primerom svojega dela pošljite do 13. 11. 2020 na e-mail.",SMART NARIS D.O.O.
MARKETING,BLEJSKA DOBRAVA (DELO OD DOMA),JESENICE Z OKOLICO,"5.00 EUR/h NETO, 5.92 EUR/h BRUTO",BLEJSKA DOBRAVA 61 (DELO OD DOMA),10.11.2020,DOPOLDAN,2,DLJE ČASA (OBČASNO) OZ. PO DOGOVORU,326804,"Delo obsega raziskovanje trga ter iskanje novih projektov in strank. Primarno se ukvarjajo s programiranjem (strani, aplikacij, software...) v kolikor imaš dodatne izkušnje ali interes tudi na tem področju je to plus. Prav tako bi delo obsegalo urejanje socialnih omrežij za promocijo in iskanje potencialnih strank. Potrebna je dobra komunikacija, zagnanost ter samoiniciativa. Iščejo vestno osebo, s katero bi morda lahko razvili tudi dolgoročno sodelovanje. Variabilni del plačila po projektu.","NUMEN, SPLETNE STORITVE, DAVOR MAJC, S.P."
BLAGAJNIK,MISLINJA,KOROŠKA,"4.82 EUR/h NETO, 5.70 EUR/h BRUTO",ŠOLSKA CESTA 55,10.11.2020,IZMENSKO,1,"DLJE ČASA (OBČASNO), PO DOGOVORU IN POTREBI",326803,"Trgovsko podjetje potrebuje polnoletno, natančno in zanesljivo osebo za delo na blagajni. Delovnik je izmenski, po dogovoru in potrebi. Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.","ENGROTUŠ, D.O.O."
FIZIČNA DELA,LJUBLJANA,LJUBLJANA Z OKOLICO,"8.45 EUR/h NETO, 10.00 EUR/h BRUTO",JAMOVA 26,11.11.2020,DOPOLDAN,1,"EN DAN ,11. 11. 2020",326802,"Kratkotrajno delo - Pomoč pri prenosu in zlaganju lesenih briketov. Prenesti jih je potrebno iz dvorišča v drvarnico. Dela je za 2-3 ure.
               <h3>
                Pomembno:
               </h3>
               Opozarjamo te, da delo za fizično osebo lahko opravljaš le na ustrezni pravni podlagi (osebno dopolnilno delo, podjemna pogodba, avtorska pogodba,...).",FIZIČNA OSEBA
DELO V PROIZVODNJI,KRANJ,KRANJ Z OKOLICO,"4.56 EUR/h NETO, 5.40 EUR/h BRUTO",SAVSKA LOKA 4,10.11.2020,IZMENSKO,2,DLJE ČASA (OBČASNO),326799,Podjetje potrebuje dve osebi za delo v proizvodnji: kontrola izdelkov in pakiranje.,ISKRA ISD - LIVARNA D.O.O.
NEGOVANJE,MENGEŠ/TRZIN,DOMŽALE-KAMNIK,"7.00 EUR/h NETO, 8.28 EUR/h BRUTO",MENGEŠ/TRZIN,10.11.2020,PO DOGOVORU,5,DLJE ČASA (OBČASNO),326798,"Podjetje potrebuje zanesljive in vestne osebe za pomoč pri negovanju starostnikov: hranjenje, pomoč pri oblačenju/slačenju, kopanje stanovalcev, posedanje, preoblačenje postelje….Ob nedeljah in praznikih, je urna postavka 8,99 € bruto. Poleg urne postavke nudijo tudi malico. Interesenti naj pokličejo ali pošljejo vlogo na e-mail.",DOM POČITKA MENGEŠ
ADMINISTRATIVNA DELA,DOMŽALE,DOMŽALE-KAMNIK,"10.00 EUR/h NETO, 11.83 EUR/h BRUTO",TKALSKA 3,10.11.2020,PO DOGOVORU,8,PO DOGOVORU,326796,"Podjetje išče produktivne, predane, lojalne in inteligentne absolvente/ke ali študente/ ke podiplomskega študija, za delo, ki obsega potovanja, promocije in pisarniško delo. Delo je dinamično. Če želite odlično odskočno desko in brezskrbno prihodnost, vas vabijo, da pošljete CV. Delovne izkušnje niso pogoj. Znanje več jezikov je prednost. Prijave sprejemajo do 25. 11. 2020.",GT3 OGLAŠEVANJE D.O.O.
HOSTES/A,DOMŽALE,DOMŽALE-KAMNIK,"10.00 EUR/h NETO, 11.83 EUR/h BRUTO",TKALSKA 3,10.11.2020,PO DOGOVORU,8,PO DOGOVORU,326795,Podjetje išče osebe za delo hostese za promocijo njihovega projekta. Delo je dinamično. Prijave sprejemajo do 19. 11. 2020 na e-mail.,GT3 OGLAŠEVANJE D.O.O.
ADMINISTRATIVNA DELA,LOGATEC,VRHNIKA Z OKOLICO,"5.07 EUR/h NETO, 6.00 EUR/h BRUTO",OBRTNA CONA LOGATEC 29,1.1.2021,DOPOLDAN,1,"DLJE ČASA, OBČASNO",326792,"Iščejo tebe. Tebe, ki ti natančnost in številke ne predstavljajo težav, hkrati pa se držiš navodil in protokolov Delo se opravlja v oddelku nabave.",LINDSTROM D.O.O.
PROGRAMIRANJE,LJUBLJANA,LJUBLJANA Z OKOLICO,"7.10 EUR/h NETO, 8.40 EUR/h BRUTO",DUNAJSKA CESTA 151,10.11.2020,DOPOLDAN,1,DLJE ČASA (OBČASNO),326791,Iščejo Java ali C#/.NET programerje za sodelovanje pri razvoju sodobnih spletnih aplikacij. Pričakujejo osnovno znanje objektnega programiranja v Javi ali C#. Delo poteka v skupini. Pri delu bo pomagal mentor. Zaželeni študenti zadnjega letnika Fakultete za računalništvo in informatiko (1. ali 2. bol. stopnja) oz. drugih naravoslovnih fakultet. Po zaključku študija je možna redna zaposlitev.,IXTLAN TEAM D.O.O.
PAKIRANJE,BRNIK,KRANJ Z OKOLICO,"6.00 EUR/h NETO, 7.10 EUR/h BRUTO",ZGORNJI BRNIK 390,11.11.2020,DOPOLDAN,10,2 DO 3 MESECE,326790,"Uspešno podjetje s spletno trgovino išče več oseb za delo v skladišču. Delo zavzema predvsem pakiranje. Zainteresirani, ki imate voljo do dela,   pošljite prijavo na email.",HS PLUS D.O.O.
DELO NA RAČUNALNIKU,LJUBLJANA,LJUBLJANA Z OKOLICO,"6.00 EUR/h NETO, 7.10 EUR/h BRUTO",PODHOD AJDOVŠČINA 4,10.11.2020,PO DOGOVORU,1,PO DOGOVORU,326789,Podjetje išče študenta/ko za sestavljanje opisov izdelkov za spletno trgovino. Pogoj so izkušnje s podobnimi deli.,FEIDA D.O.O.
ADMINISTRATIVNA DELA,LJUBLJANA,LJUBLJANA Z OKOLICO,"5.92 EUR/h NETO, 7.00 EUR/h BRUTO",KVEDROVA 5 A,16.11.2020,DOPOLDAN,1,DLJE ČASA (OBČASNO),326788,"Pričakujejo: zaklj. let. ali abs. ekon. ali tehn. smeri, dobro znanje MS Office orodij, zaželene izkušnje z MS CRM, dobre komunik. in org. sposobnosti. Delo obsega različna admin. dela, poudarek na prodaji in marketingu, opravljanje različnih kontrol in evidenc, delo s posl. partnerji in sodelavci, priprava webinarjev, Linkedin. Nudijo: razgibano in zanimivo delo, odlične razvojne možnosti, fiksno+stimulativno plačilo, zaposlitev v uspešnem rastočem podjetju. Prijava in CV na e-naslov.",TELPROM INFORMACIJSKE TEHNOLOGIJE D.O.O.
STREŽBA,MARIBOR-POBREŽJE,MARIBOR Z OKOLICO,"4.80 EUR/h NETO, 5.68 EUR/h BRUTO",BORCEV ZA SEVERNO MEJO 6,1.12.2020,PO DOGOVORU,2,DLJE ČASA (OBČASNO),326787,"Podjetje potrebuje dve zanesljivi osebi za strezbo pijace v mirnem lokalu in prijetnem kolektivu. Izkusnje so zaželene, predvsem pa dobra volja in želja po tem delu. Če se vidiš v njihovem timu, jih kontaktiraj.

Delo se začne takoj po sprostitvi ukrepov",TNS-G D.O.O.
TELEFONSKI MARKETING,LJUBLJANA,LJUBLJANA Z OKOLICO,"7.00 EUR/h NETO, 8.28 EUR/h BRUTO",ŠTUKLJEVA CESTA 40,11.11.2020,PO DOGOVORU,6,PO DOGOVORU - 2 DO 3 MESECE,326785,"Zaradi hitre rasti in širjenja podjetja iščejo prodajne referente. Ne zamudi priložnosti in se pridruži mlademu kolektivu podjetja, ki trži programske rešitve v avtomobilski industriji.

Sprva gre za telefonsko prodajo, lahko pa hitro napredujete v druge funkcije. Pogoji: polnoletnost, zagnanost in komunikativnost. Vloge sprejemajo preko spletnega obrazca.","BRIEFD, DRUŽBA ZA RAZVOJ MOBILNOSTI D.O.O."
ADMINISTRATIVNA DELA,LJUBLJANA,LJUBLJANA Z OKOLICO,"7.00 EUR/h NETO, 8.28 EUR/h BRUTO",BABIČEVA ULICA 1,10.11.2020,DOPOLDAN,1,DLJE ČASA (OBČASNO),326780,"Veleprodajno podjetje za nadaljnje uspešno poslovanje išče študenta/ko za pomoč pri administrativnih delih in različnih delih v pisarni. Zaželen je absolventski status, po možnosti ekonomske smeri študija. Možnost kasnejše zaposlitve. Pogoji: izpit B-kategorije (lasten prevoz je prednost), odlično znanje angleščine (C2, ostali tuji jeziki so prednost), poznavanje MS Office, samoiniciativnost, zagnanost, natančnost, urejenost, nekadilec/ka. Pošljite CV in predstavitveno pismo.",GROUP 22 D.O.O.
PRODAJA,PIRAN,PIRAN Z OKOLICO,"5.00 EUR/h NETO, 5.92 EUR/h BRUTO",TRŽNICA,10.11.2020,DOPOLDAN,1,DLJE ČASA (OBČASNO),326778,"Iščejo osebo za prodajo zdrave prehrane in slovenskih izdelkov (med, olje, piškoti, sokovi...) na tržnici. Pogoji: starost nad 23 let, lasten prevoz in  izkušnje. Dela se 3-4 x na teden. Plačilo 5,92 € bruto + nagrada.","ZAVOD SONCE KOPER, INŠTITUT ZA HELIOTERAPIJO IN           MAGNETIZEM"
PRODAJA,IZOLA,IZOLA Z OKOLICO,"5.00 EUR/h NETO, 5.92 EUR/h BRUTO",TRŽNICA,10.11.2020,DOPOLDAN,1,DLJE ČASA (OBČASNO),326777,"Iščejo osebo za prodajo zdrave prehrane in slovenskih izdelkov (med, olje, piškoti, sokovi...) na tržnici. Pogoji: starost nad 23 let, lasten prevoz in  izkušnje. Dela se 3-4 x na teden. Plačilo 5,92 € bruto + nagrada.","ZAVOD SONCE KOPER, INŠTITUT ZA HELIOTERAPIJO IN           MAGNETIZEM"
PRODAJA,KOPER,KOPER Z OKOLICO,"5.00 EUR/h NETO, 5.92 EUR/h BRUTO",TRŽNICA,10.11.2020,DOPOLDAN,1,DLJE ČASA (OBČASNO),326776,"Iščejo osebo za prodajo zdrave prehrane in slovenskih izdelkov (med, olje, piškoti, sokovi...) na  tržnici. Pogoji: starost nad 23 let, lasten prevoz in  izkušnje. Dela se 3-4 x na teden. Plačilo 5,92 € bruto + nagrada.","ZAVOD SONCE KOPER, INŠTITUT ZA HELIOTERAPIJO IN           MAGNETIZEM"
PISMONOŠA,PTUJ,PTUJ Z OKOLICO,"4.56 EUR/h NETO, 5.40 EUR/h BRUTO",PTUJ 2250 MESTO,11.11.2020,DOPOLDAN,1,PO DOGOVORU,326775,"Podjetje potrebuje polnoletno, vestno in zanesljivo osebo za pomoč pri dostavi pisemskih pošiljk. Dostava je možna na več načinov: peš, s kolesom ali s kolesom z motorjem. Pričetek dela je ob 6.30, dela se v okolišu Ptuj - mesto. Interesenti naj pokličejo na kontakt podjetja.",POŠTA SLOVENIJE D.O.O.
NEGOVANJE,DOMŽALE,DOMŽALE-KAMNIK,"6.00 EUR/h NETO, 7.10 EUR/h BRUTO",KARANTANSKA CESTA 5,10.11.2020,IZMENSKO,10,PO DOGOVORU,326774,"Iščejo več oseb za nego starejših oseb. Zahteve: veselje do dela s starejšimi, empatičnost. Pogoj: izkušnje obvezne. Nudijo zajtrk in topel obrok.",DOM UPOKOJENCEV DOMŽALE
